timestamp,transaction_type,token,amount
1571967208,DEPOSIT,BTC,0.298660
283557846,DEPOSIT,XRP,0.024391
283557838,DEPOSIT,ETH,0.343911
130198497,DEPOSIT,BTC,0.225981
130198419,WITHDRAWAL,ETH,0.462829
130198386,DEPOSIT,BTC,0.174932
90523103,DEPOSIT,BTC,0.455410
90523046,WITHDRAWAL,XRP,0.380575
90522974,DEPOSIT,ETH,0.227306
90522933,WITHDRAWAL,BTC,0.242021
90522897,DEPOSIT,BTC,0.885998
90522840,DEPOSIT,ETH,0.283221
90522809,DEPOSIT,XRP,0.195936
90522784,WITHDRAWAL,ETH,0.112387
90522737,WITHDRAWAL,XRP,0.204888
90522708,WITHDRAWAL,ETH,0.362628
90522694,DEPOSIT,BTC,0.596641
90522637,DEPOSIT,XRP,0.406487
90522553,DEPOSIT,XRP,0.456366
90522458,WITHDRAWAL,XRP,0.108079
90522401,DEPOSIT,XRP,0.042564
90522340,WITHDRAWAL,BTC,0.416468
90522287,WITHDRAWAL,ETH,0.207204
90522209,DEPOSIT,BTC,0.329592
90522193,DEPOSIT,BTC,0.526272
90522135,WITHDRAWAL,XRP,0.145745
90522059,DEPOSIT,XRP,0.487369
90522037,DEPOSIT,XRP,0.983784
90521982,WITHDRAWAL,BTC,0.984626
90521904,DEPOSIT,XRP,0.103522
90521846,WITHDRAWAL,BTC,0.203556
90521812,WITHDRAWAL,ETH,0.708770
90521787,WITHDRAWAL,BTC,0.905836
90521775,DEPOSIT,BTC,0.178816
90521686,WITHDRAWAL,XRP,0.895010
90521643,WITHDRAWAL,ETH,0.879286
90521592,WITHDRAWAL,BTC,0.213552
90521534,DEPOSIT,XRP,0.029302
90521510,DEPOSIT,ETH,0.137760
90521461,DEPOSIT,XRP,0.579961
90521426,WITHDRAWAL,BTC,0.331776
90521385,WITHDRAWAL,BTC,0.545061
90521316,WITHDRAWAL,BTC,0.473735
90521238,WITHDRAWAL,ETH,0.822899
90521230,DEPOSIT,BTC,0.171722
90521157,DEPOSIT,BTC,0.804186
90521079,WITHDRAWAL,XRP,0.290063
90521075,WITHDRAWAL,BTC,0.234987
90521002,DEPOSIT,ETH,0.775837
90520918,WITHDRAWAL,ETH,0.902385
90520902,WITHDRAWAL,ETH,0.102638
90520822,DEPOSIT,ETH,0.173969
90520791,DEPOSIT,ETH,0.511090
90520746,WITHDRAWAL,BTC,0.253404
90520723,WITHDRAWAL,BTC,0.132561
90520636,DEPOSIT,BTC,0.676362
90520607,DEPOSIT,BTC,0.519670
90520536,DEPOSIT,ETH,0.983760
90520519,DEPOSIT,BTC,0.850160
90520465,DEPOSIT,ETH,0.774209
90520400,DEPOSIT,ETH,0.629706
90520372,WITHDRAWAL,ETH,0.246064
90520306,DEPOSIT,XRP,0.221909
90520294,DEPOSIT,BTC,0.241557
90520285,DEPOSIT,BTC,0.083640
90520217,DEPOSIT,ETH,0.226199
90520144,DEPOSIT,ETH,0.814061
90520130,DEPOSIT,BTC,0.200090
90520119,DEPOSIT,XRP,0.883819
90520034,DEPOSIT,ETH,0.371251
90520031,WITHDRAWAL,BTC,0.223247
90519958,WITHDRAWAL,BTC,0.123602
90519920,DEPOSIT,BTC,0.592778
90519853,WITHDRAWAL,ETH,0.602845
90519792,DEPOSIT,ETH,0.065155
90519773,DEPOSIT,ETH,0.620523
90519763,DEPOSIT,ETH,0.957417
90519710,DEPOSIT,ETH,0.982322
90519662,DEPOSIT,BTC,0.333325
90519589,WITHDRAWAL,BTC,0.970874
90519490,DEPOSIT,XRP,0.604117
90519461,WITHDRAWAL,ETH,0.742992
90519445,DEPOSIT,XRP,0.365608
90519346,DEPOSIT,ETH,0.504934
90519273,DEPOSIT,ETH,0.138421
90519190,DEPOSIT,ETH,0.213454
90519108,DEPOSIT,BTC,0.130982
90519049,DEPOSIT,BTC,0.992758
90518992,DEPOSIT,BTC,0.371154
90518967,DEPOSIT,ETH,0.058645
90518887,DEPOSIT,ETH,0.369560
90518823,WITHDRAWAL,BTC,0.723842
90518809,WITHDRAWAL,XRP,0.271677
90518724,WITHDRAWAL,ETH,0.032885
90518638,DEPOSIT,ETH,0.044309
90518593,DEPOSIT,XRP,0.397068
90518561,WITHDRAWAL,ETH,0.730857
90518549,WITHDRAWAL,BTC,0.242636
90518538,WITHDRAWAL,XRP,0.503246
90518522,DEPOSIT,BTC,0.902664
90518507,DEPOSIT,ETH,0.747923
90518422,DEPOSIT,XRP,0.877087
90518372,DEPOSIT,ETH,0.475905
90518345,DEPOSIT,XRP,0.319391
90518284,DEPOSIT,BTC,0.702708
90518201,WITHDRAWAL,ETH,0.178911
90518180,WITHDRAWAL,ETH,0.403966
90518141,DEPOSIT,BTC,0.235074
90518094,WITHDRAWAL,ETH,0.394529
90518013,DEPOSIT,ETH,0.429233
90517989,DEPOSIT,ETH,0.645776
90517978,WITHDRAWAL,BTC,0.997454
90517908,WITHDRAWAL,BTC,0.346059
90517887,WITHDRAWAL,BTC,0.411075
90517873,DEPOSIT,XRP,0.991505
90517790,WITHDRAWAL,XRP,0.157595
90517693,WITHDRAWAL,XRP,0.596037
90517692,DEPOSIT,BTC,0.678282
90517633,DEPOSIT,XRP,0.919882
90517607,WITHDRAWAL,BTC,0.837562
90517605,DEPOSIT,XRP,0.724304
90517565,DEPOSIT,XRP,0.094188
90517559,WITHDRAWAL,XRP,0.949755
90517525,DEPOSIT,ETH,0.014130
90517470,DEPOSIT,ETH,0.681997
90517396,DEPOSIT,XRP,0.787181
90517355,DEPOSIT,ETH,0.175306
90517267,DEPOSIT,ETH,0.458903
90517185,WITHDRAWAL,BTC,0.588041
90517128,WITHDRAWAL,XRP,0.295445
90517090,DEPOSIT,BTC,0.968858
90517005,WITHDRAWAL,BTC,0.264895
90516910,WITHDRAWAL,BTC,0.315743
90516863,DEPOSIT,ETH,0.242707
90516834,WITHDRAWAL,BTC,0.956903
90516830,WITHDRAWAL,XRP,0.955711
90516771,DEPOSIT,ETH,0.023753
90516741,DEPOSIT,BTC,0.591743
90516651,WITHDRAWAL,BTC,0.900899
90516639,WITHDRAWAL,BTC,0.449621
90516612,WITHDRAWAL,XRP,0.364916
90516541,WITHDRAWAL,ETH,0.937017
90516452,DEPOSIT,ETH,0.147628
